TIME,Belgium,Denmark,Germany,Ireland,Greece,Spain,France,Italy,Cyprus,Hungary,Malta,Netherlands,Austria,Portugal
2006-03,8.6,4.2,10.5,4.7,9,8.7,9.1,7.2,5,7.3,7.3,6.3,6.2,9.1
2006-04,8.7,4.2,10.3,4.7,9.1,8.6,9,7.1,4.6,7.2,7.2,6.2,5.7,9.1
2006-05,8.8,4.1,10.2,4.7,9.2,8.5,8.9,7,4.6,7.3,7,6.2,5.4,9.1
2006-06,8.5,4,10.1,4.8,9.2,8.4,8.9,6.7,4.4,7.5,6.9,6,6,9.1
2006-07,8,3.8,10,5,8.7,8.3,9,6.6,4.1,7.5,6.8,6,5.5,9.2
2006-08,7.8,3.7,9.9,5.1,8.9,8.3,9,6.7,4.1,7.6,6.7,5.9,5.2,9.2
2006-09,7.9,3.6,9.8,4.9,9,8.2,8.7,6.7,4.2,7.6,6.5,5.9,5.1,9.6
2006-10,7.9,3.5,9.7,4.6,8.4,8.2,8.5,6.7,4.4,7.7,6,5.9,5.3,9.7
2006-11,8,3.6,9.6,4.6,8.9,8.3,8.3,6.6,4.3,7.6,6.1,5.9,5.3,9.7
2006-12,7.9,3.8,9.4,4.7,9,8.3,8.3,6.3,4.4,7.4,6.5,5.8,5.4,9.7
2007-01,7.8,4.1,9.2,4.8,8.4,8.3,8.5,6.3,4.4,7.1,7.1,5.7,5.2,9.7
2007-02,7.8,3.9,9.1,4.9,8.6,8.2,8.5,6.1,4.2,7.1,7.3,5.7,5.5,9.8
2007-03,7.9,3.7,8.9,5,8.9,8.1,8.4,6.1,3.9,7.2,7.2,5.5,5.1,9.7
2007-04,8.2,3.5,8.8,5,8.5,8,8.2,5.8,3.8,7.2,6.6,5.3,5.6,9.9
2007-05,8.1,3.6,8.6,5,8.4,7.9,8.1,6.1,3.8,7.1,6.3,5.3,5.7,9.8
2007-06,7.7,3.7,8.6,5,8.6,8,8,6,3.6,7.1,6.2,5.2,5.2,9.6
2007-07,7.3,4,8.5,4.9,8.4,8.1,8.1,6.3,4,7.3,6.2,5.3,5.5,9.7
2007-08,7,4,8.4,4.9,8.3,8.3,8,6.2,4.2,7.3,6.4,5.2,5.3,9.6
2007-09,6.9,4.1,8.4,4.9,8.7,8.3,7.9,6.2,3.9,7.5,6.4,5.2,4.9,9.4
2007-10,7,3.7,8.3,5.1,8.3,8.4,7.7,6.3,4,7.6,6.1,5.1,5,9.4
2007-11,7.1,3.7,8.2,5.3,7.7,8.6,7.5,6.3,3.7,7.9,6,5.1,4.9,9.3
2007-12,7.1,3.3,8.1,5.3,8.3,8.8,7.3,6.7,3.8,8,5.8,5,4.5,9.2
2008-01,7.1,3.2,8,5.3,7.5,9.1,7.2,6.7,3.9,7.8,6.1,5,4.6,9
2008-02,6.9,3.5,7.9,5.3,7.6,9.3,7.1,6.7,3.9,7.6,6,4.7,4.6,8.9
2008-03,6.7,3.6,7.8,5.5,8.2,9.5,7.1,6.4,3.8,7.5,5.9,4.7,4.4,9
2008-04,6.5,3.2,7.7,5.6,7.7,10,7.3,6.9,3.5,7.6,5.8,4.8,4.3,9
2008-05,6.5,3.5,7.6,5.9,7.3,10.4,7.3,6.8,3.4,7.7,5.8,4.8,4.1,9.1
2008-06,6.9,3.7,7.4,6.3,7.9,10.8,7.4,6.9,3.5,7.6,5.9,4.8,3.9,9.3
2008-07,7.5,3.7,7.3,6.9,7.6,11.1,7.5,6.6,3.6,7.6,5.9,4.7,4.4,9.2
2008-08,7.6,3.8,7.1,7.4,7.7,11.5,7.5,6.8,3.5,7.8,6.1,4.7,4.4,9.4
2008-09,7.4,3.8,7,7.8,8,12,7.5,6.8,3.8,7.9,6,4.8,4.3,9.4
2008-10,6.9,3.6,7,8.1,7.7,12.9,7.6,7,3.8,8,6.1,4.7,4.4,9.3
2008-11,6.7,4.6,7,8.5,7.8,13.8,7.8,7.1,3.5,8.2,6.3,4.7,4.8,9.3
2008-12,6.9,4.2,7,9,8.6,14.8,8,6.8,3.7,8.4,6.1,4.8,5,9.8
2009-01,7.8,5.4,7.1,10.1,9,15.9,8.3,7.3,3.8,8.6,6.4,4.8,5,10
2009-02,7.9,5,7.1,10.9,9.2,16.8,8.6,7.4,4,8.8,6.5,4.9,5,10.2
2009-03,7.9,5.4,7.2,11.6,9.1,17.5,8.9,7.7,4.6,9.3,6.6,5,5.4,10.6
2009-04,7.9,6.2,7.3,12.2,9.5,17.8,9.1,7.5,5.2,9.4,6.9,5.2,5.7,10.8
2009-05,7.9,6,7.3,12.7,9.4,17.9,9.2,7.5,5.5,9.2,7.1,5.2,5.6,11
2009-06,8,7.4,7.4,12.9,9.4,17.9,9.2,7.8,5.6,9.5,7.1,5.3,5.9,11.3
2009-07,8,5.8,7.4,13,10,18,9.1,7.9,5.4,9.9,7,5.5,6.2,11.6
2009-08,8,7.1,7.4,13.2,10,18.2,9.2,7.9,5.5,10.1,6.8,5.6,5.7,11.8
2009-09,8,7.2,7.3,13.7,9.9,18.4,9.3,8.3,5.9,10.5,6.9,5.7,6.4,11.9
2009-10,8,7,7.2,13.8,10.3,18.6,9.5,8.3,6.2,10.1,6.8,5.8,5.9,11.9
2009-11,8.1,7.3,7.1,13.9,11,18.7,9.6,8.4,6.5,10.5,7.1,5.9,6,11.8
2009-12,8.4,7.5,7.1,13.8,10.2,18.9,9.5,8.5,6.5,10.4,7.3,6.1,5.4,11.9
2010-01,8.6,7.5,7,13.8,11.2,19.1,9.5,8.6,6.3,10.6,7.1,6.2,5.3,11.8
2010-02,8.6,7.7,7,13.7,11.8,19.2,9.4,8.7,6.2,10.8,7.1,6.2,5.4,12.1
2010-03,8.6,7.8,6.9,13.9,11.4,19.4,9.3,8.6,6.5,10.9,6.9,6.2,5.5,12.2
2010-04,8.5,7.7,6.8,14.2,12.3,19.8,9.3,8.7,6.5,10.8,6.9,6.1,5.5,12.5
2010-05,8.5,7.6,6.7,14.5,12.6,20,9.3,8.7,6.5,10.9,6.5,6.1,5.3,12.7
2010-06,8.6,8,6.5,14.4,12.6,20.1,9.2,8.5,6.6,10.9,6.5,6.2,5.3,12.9
2010-07,8.6,7.7,6.4,14.3,13.2,19.9,9.2,8.5,6.2,10.6,6.8,6.2,5.2,12.9
2010-08,8.5,7.6,6.4,14.5,13.2,20,9.3,8.2,6.2,10.9,6.7,6.1,5.1,12.9
2010-09,8.4,7.6,6.3,15.1,13.5,20.1,9.2,8.4,6.1,10.6,6.9,6,5.1,12.8
2010-10,8.1,8.1,6.3,15.6,14.3,20.1,9.2,8.6,6.2,10.6,7,6,5.2,12.6
2010-11,7.9,7.5,6.2,15.7,14.3,20.2,9.2,8.4,6,10.8,6.9,5.9,4.7,12.8
2010-12,7.7,8.2,6.1,15.6,14.9,20.4,9.2,8.2,6,10.9,6.8,5.9,4.8,12.8
2011-01,7.3,8,6,15.4,15.2,20.4,9.2,8.2,6.3,11.1,6.6,5.8,5,12.8
2011-02,7.1,7.8,5.9,15.1,15.7,20.5,9.2,8.1,6.7,10.9,6.7,5.9,5.5,13
2011-03,6.9,7.9,5.7,14.9,16.4,20.6,9.1,8.1,6.7,10.5,6.6,5.7,5,13.2
2011-04,6.9,7.3,5.6,14.9,16.4,20.6,9.1,8,7.1,10.6,6.8,5.8,4.9,13.1
2011-05,7,7.8,5.6,15,17.3,20.7,9.1,8.3,7.5,10.6,6.7,5.8,4.9,13.2
2011-06,7.1,7.3,5.5,15.2,17.2,21,9.1,8.2,7.5,10.4,6.4,5.7,4.6,13
2011-07,7.5,8.2,5.5,15.5,18,21.4,9.2,8.4,7.6,10.6,6.1,6,4.3,13
2011-08,7.7,7.6,5.4,15.6,19.2,21.7,9.2,8.5,8.1,10.7,5.8,6,4.4,13.5
2011-09,7.6,7,5.4,15.7,18.9,22.1,9.2,9,8.8,10.5,5.9,6.2,4.4,13.9
2011-10,7.3,8.2,5.3,15.6,20.6,22.4,9.3,8.9,9.4,10.6,6.2,6.4,5.2,14.1
2011-11,7.2,8.1,5.2,15.8,20.8,22.7,9.3,9.5,9.6,10.4,6.4,6.6,5.3,14.7
2011-12,7.1,7.9,5.2,16.1,21.3,22.9,9.4,9.7,9.6,10.9,6.5,6.5,5.1,15.1
2012-01,7.2,7.5,5.1,15.6,21.6,23.2,9.5,9.7,9.8,11,6.3,6.6,4.6,15.1
2012-02,7.2,8.1,5.1,16.1,22.4,23.6,9.5,10.2,10,10.9,6.2,6.5,5.1,15.5
2012-03,7.2,7.6,5.1,16.1,22.9,23.9,9.5,10.7,10.6,10.8,6.2,6.5,4.9,15.9
2012-04,7.3,8.4,5.1,15.7,23.7,24.2,9.6,10.7,11.2,10.7,6.1,6.8,5,16.3
2012-05,7.4,8.5,5.1,15.5,24,24.6,9.7,10.6,11.8,10.6,6.1,6.7,5.1,16.2
2012-06,7.4,7.8,5.1,15.4,25.3,24.8,9.7,10.9,11.6,10.5,6.2,6.7,5.5,16.1
2012-07,7.4,7.5,5.1,15.6,25.5,25,9.7,11,12.5,10.3,6.3,6.8,5.4,16.3
2012-08,7.6,8.1,5,15.5,25.9,25.2,9.7,10.9,12.1,10.3,6.5,6.8,5.5,16.9
2012-09,7.8,7.7,5,15.4,26.6,25.5,9.8,11.2,12.6,10.3,6.4,6.9,5.5,17
2012-10,8.2,7.6,5,15.2,26.2,25.7,10,11.6,13,10.4,6.5,7,5.3,17.5
2012-11,8.4,7.3,5,15,27,25.9,10.2,11.6,13.1,10.5,6.3,7.2,5.4,17.7
2012-12,8.5,7.4,5,14.8,26.7,26,10.3,11.6,13.7,10.8,5.9,7.4,5.5,18.3
